Japanese Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
到着(とうちゃく)でございます,到着[とうちゃく]でございます,到着でございます,"<img src=""Spirited_Away_-_ja_-_Jap_1952033.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1951588.mp3],Đã đến nơi rồi thưa quý khách.,도착했습니다,到[dào]了[le],到[dào]了[le],Here we are.,Llegamos.,Hemos llegado.,到着[とうちゃく]： 到達[とうたつ]すること（ 敬語[けいご]）,でございます： 丁寧[ていねい]な 断定[だんてい],敬語[けいご] 表現[ひょうげん]： 丁寧[ていねい]な 言い方[いいかた],,到着[とうちゃく]しました。,こちらでございます。,ただいま 参[まい]りました。,,[sound:hypertts-e7031a3d06a82b6b1b2dcee8e3479da4236fa2a7567e9764c5482848.mp3],[sound:hypertts-73558dee8a37ba7b5d20c394830e77306bd5aa147b588deaf9c11ac8.mp3],[sound:hypertts-272d64a6e4c645116bbad824db824631aa636877fa608b0dd98070d0.mp3],
お前 なんか隠(かく)しておるな,お 前[まえ]なんか 隠[かく]しておるな,お前なんか隠しておるな,"<img src=""Spirited_Away_-_ja_-_Jap_1978434.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1978239.mp3],Cô đang giấu thứ gì phải không?,뭔가 숨기고 있지?,你[nǐ]藏[cáng]着[zhe]什[shén]么[me]东[dōng]西[xī]？[？],妳[nǐ]藏[cáng]著[zhù]什[shén]麼[me]東[dōng]西[xī]？[？],You're hiding something.,Estás escondiendo algo.,Ocultas algo.,隠[かく]す： 見[み]えないようにする,おる（いるの 古[いにしえ]・ 方言[ほうげん]）： 存在[そんざい]、 状態[じょうたい],~なんか（ 軽蔑[けいべつ]・ 強調[きょうちょう]）： 否定的[ひていてき]ニュアンス,~な（ 確認[かくにん]・ 断定[だんてい]）： 口語[こうご],箱[はこ]に 財布[さいふ]を 隠[かく]した。,ここにおる。,そんなことなんか 知[し]らない。,そうなんだな。,[sound:hypertts-84df388cc189d1bc635fc91ec779aa98990590d15634a3bb33148a0e.mp3],[sound:hypertts-ca36a5da91dd9ec719cf8aa887d5e767ed3fa1743716ccd4514b765f.mp3],[sound:hypertts-9ae789c9c367982c4c315ae81017f78650cd908d0f726863807d8db4.mp3],[sound:hypertts-61cbb62a702b4f4edf90129a923950f7522428e85256495ff53a59de.mp3]
正直に申せ,正直[しょうじき]に 申[もう]せ,正直に申せ,"<img src=""Spirited_Away_-_ja_-_Jap_1981479.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1981256.mp3],Thành thật khai báo nào.,솔직히 말해,从[cóng]实[shí]招[zhāo]来[lái],從[cóng]實[shí]招[zhāo]來[lái],"Tell me the truth, now.",Dime la verdad ahora.,Dime la verdad.,正直[しょうじき]： 嘘[うそ]や 偽[いつわ]りがないこと,申[もう]せ（ 言[い]うの 命令形[めいれいけい]の 古[こ]/ 敬語[けいご]）： 命令[めいれい],敬語[けいご]・ 命令[めいれい] 表現[ひょうげん]： 短[みじか]く 厳[きび]しい 指示[しじ],,正直[しょうじき]に 話[はな]して。,率直[そっちょく]に 申[もう]せ。,早[はや]く 申[もう]せ。,,[sound:hypertts-a65b0e0eb5b96c1988d404a275d6e606aa40ae9e8e4de2c352aa0713.mp3],[sound:hypertts-1f4a5695a955ec4d1e8eebf063093d6af33add643d91f450724c0621.mp3],[sound:hypertts-f955611e1220763520a0777178fa26927e4e53a5506b2548d04e922d.mp3],
上へ行くお客様<br>レバーをお引きください,上[うえ]へ 行[い]くお 客様[きゃくさま]<br>レバーをお 引[ひ]きください,上へ行くお客様レバーをお引きください,"<img src=""Spirited_Away_-_ja_-_Jap_1995118.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_1995118.mp3],"Thưa quý khách,<br>hãy gạt cần nếu muốn đi lên ạ.",올라가는 손님께선<br>손잡이를 당겨 주세요,要[yào]上[shàng]楼[lóu]的[de]客[kè]人[rén] 请[qǐng]拉[lā]下[xià]扶[fú]手[shǒu],要[yào]上[shàng]樓[lóu]的[de]客[kè]人[rén]，[，]請[qǐng]拉[lā]下[xià]扶[fú]手[shǒu],"Anyone going up, pull down on the lever.","El que suba, que baje la palanca.","Quien vaya a subir,<br>que accione la palanca.",お 客様[きゃくさま]： 敬称[けいしょう]、 客[きゃく]を 表[あらわ]す,レバー： 操作[そうさ]する 部分[ぶぶん],~ください（ 丁寧[ていねい]な 依頼[いらい]）,呼[よ]びかけ ＋[たす] 操作[そうさ] 指示[しじ]の 表現[ひょうげん],お 客様[きゃくさま]、どうぞお 入[はい]りください。,レバーを 引[ひ]いてください。,触[さわ]らないでください。,押[お]してください。,[sound:hypertts-bff3ea85763a0462e34c8d45659f4b4b7fcf0a0862031260f7e15055.mp3],[sound:hypertts-0e5de8a2baa31ecd08827ba05b361c8d07cbbfc420f8a766b9d52caf.mp3],[sound:hypertts-e18fdc886e3eadd006271f8d20fe6b7e827b3eb9a8af347c1cf345d0.mp3],[sound:hypertts-16c5adab0e30fb69ae3cdb4f72b4677f6b29c5dd5abe0d5aa05b9871.mp3]
ノックもしないのかい！,ノックもしないのかい！,ノックもしないのかい,"<img src=""Spirited_Away_-_ja_-_Jap_2103267.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2103267.mp3],Ngươi không định gõ cửa hay sao?,노크도 안 하느냐?,连[lián]门[mén]也[yě]不[bù]敲[qiāo]一[yī]下[xià],連[lián]門[mén]也[yě]不[bù]敲[qiāo]一[yī]下[xià],Not going to knock?,¿No vas a golpear?,¿No vas a llamar?,ノック：ドアをたたく 行為[こうい],かい（ 口語[こうご]の 疑問[ぎもん]）： 驚[おどろ]きや 非難[ひなん],否定[ひてい] 疑問[ぎもん]の 非難[ひなん] 表現[ひょうげん]： 強[つよ]い 驚[おどろ]き,,ドアをノックしてください。,何[なに]をしてるのかい？,やらないのかい！,,[sound:hypertts-1a292cb837f092f75761240d4a4398b6e4702bf10c9de787ec182f6d.mp3],[sound:hypertts-cf89ce6527b2ac84b3421fe35bebd9d229b3e1189a2630e3504b30ad.mp3],[sound:hypertts-15901c813392628eacf67eebd3c34d069b70363b4263cdb8b3e1eb18.mp3],
バカなおしゃべりは やめとくれ,バカなおお 喋[しゃべ]りは 止[や]めとくれ,バカなおお喋りは止めとくれ,"<img src=""Spirited_Away_-_ja_-_Jap_2187935.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2187686.mp3],Đừng nói những điều vớ vẩn nữa.,바보 같은 얘긴 그만해라,别[bié]说[shuō]傻[shǎ]话[huà]了[le],別[bié]說[shuō]傻[shǎ]話[huà]了[le],Stop babbling.,Deja de mascullar.,Cállate ya y no digas tonterías.,おしゃべり： 無駄話[むだばなし]・お 喋[しゃべ]り,やめとくれ（やめてくれの 口語[こうご]・ 懇願[こんがん]）,命令[めいれい]・ 懇願[こんがん]の 口語[こうご] 表現[ひょうげん],,授業中[じゅぎょうちゅう]のおしゃべりは 禁止[きんし]。,もうやめとくれ。,もうやめてくれ。,,[sound:hypertts-0baf6c9eb2e928d781e72dc4bc2d100b74dc79b3627898a9b786b864.mp3],[sound:hypertts-1eb62e84276cd3bd5503c8418d85947e350941b040050158294ed576.mp3],[sound:hypertts-49171ba43b0b09ebbefd22af2837c86ebb64dd8416558f38f0cf609a.mp3],
疲(つか)れを癒(いや)しにくる<br>お湯屋なんだよ,疲[つか]れを 癒[いや]しにくる<br>お 湯屋[ゆや]なんだよ,疲れを癒しにくるお湯屋なんだよ,"<img src=""Spirited_Away_-_ja_-_Jap_2202575.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2202432.mp3],tới để giải tỏa mệt mỏi đấy.,피로를 풀러 오는 온천탕이야,是[shì]各[gè]方[fāng]神[shén]明[míng]来[lái]放[fàng]松[sōng]泡[pào]汤[tāng]的[de]地[dì]方[fāng],是[shì]各[gè]方[fāng]神[shén]明[míng]來[lái]放[fàng]鬆[sōng]泡[pào]湯[tāng]的[de]地[dì]方[fāng],where eight million spirits<br>can rest their weary bones.,donde ocho millones de espíritus<br>pueden venir a relajarse.,en el que ocho millones de dioses<br>pueden descansar sus agotados huesos.,癒[いや]す： 疲[つか]れなどを 癒[いや]す,お 湯屋[ゆや]（ゆや）： 風呂場[ふろば]、 入浴[にゅうよく] 施設[しせつ]（ 劇中[げきちゅう]）,~にくる： 目的[もくてき]で 来[く]る 表現[ひょうげん],<br>~なんだよ： 説明[せつめい]・ 親[した]しみ,温泉[おんせん]で 心[こころ]を 癒[いや]す。,古[ふる]いお 湯屋[ゆや]に 行[い]く。,仕事[しごと]をしに 来[き]た。,本当[ほんとう]に 必要[ひつよう]なんだよ。,[sound:hypertts-d43e18d55968a72e5866febe25af582fc71bde0397d8fb23603043de.mp3],[sound:hypertts-133ef3629e5f5df010b1a4bee567f069cc2adc430060595916d4d939.mp3],[sound:hypertts-fa32a381901b2122ee6cf3a6367a1cf291d834e1229f2ae38038cce9.mp3],[sound:hypertts-358fc2d88c72b9049d8df9a3359ecbac0f731f24d960f27d19e5dffa.mp3]
お客様の食べものを<br>ブタのように食い散(ち)らして,お 客様[きゃくさま]の 食[た]べものを<br>ブタのように 食[く]い 散[ち]らして,お客様の食べものをブタのように食い散らして,"<img src=""Spirited_Away_-_ja_-_Jap_2210625.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2210489.mp3],Bọn chúng cả gan ngấu nghiến thức ăn<br>của khách như những con heo!,손님 음식을<br>돼지처럼 먹어 치우다니!,像[xiàng]猪[zhū]一[yī]样[yàng]地[dì]吃[chī]掉[diào]客[kè]人[rén]的[de]食[shí]物[wù],像[xiàng]豬[zhū]一[yī]樣[yàng]的[de]吃[chī]客[kè]人[rén]的[de]食[shí]物[wù],Gobbling up our guests' food like pigs!,¡Engulleron la comida<br>de nuestros huéspedes como cerdos!,¡Se han tragado como cerdos<br>la comida de nuestros invitados!,食い散[くいち]らす：むさぼるように 食[た]べる,ブタのように： 比喩[ひゆ]で 貪欲[どんよく]に,比喩表現[ひゆひょうげん]：「ように」で 例[たと]える,~て（ 動作[どうさ]の 継続[けいぞく]）,彼[かれ]はごちそうを 食い散[くいち]らした。,彼[かれ]はブタのように 食[た]べた。,風[かぜ]のように 走[はし]る。,食[た]べてしまった。,[sound:hypertts-f6498b90b210326275c91341fbd09be06b24ef5ee11d376c8584b785.mp3],[sound:hypertts-4f000ebeb13a939681cde4a80c2348cae9cca9243cf392f2c9108f8f.mp3],[sound:hypertts-51248505652556427699870864a219ea8b701c9909263ced7c8ea842.mp3],[sound:hypertts-eec9c040c0e4b9c506fb68a920b8068c8bfef906c29d98d4c9314971.mp3]
震(ふる)えてるねえ,震[ふる]えてるねえ,震えてるねえ,"<img src=""Spirited_Away_-_ja_-_Jap_2239779.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2239537.mp3],Ngươi đang run sợ phải không?,떨고 있구나,你[nǐ]在[zài]发[fā]抖[dǒu]啊[a],妳[nǐ]在[zài]發[fā]抖[dǒu]啊[a],I see you're trembling.,Veo que estás temblando.,Veo que estás temblando.,震[ふる]える： 小刻[こきざ]みに 揺[ゆ]れる・ 震[ふる]える,ねえ： 共感[きょうかん]・ 呼[よ]びかけの 語尾[ごび],~ている： 状態[じょうたい]の 継続[けいぞく],感嘆[かんたん]の 語尾[ごび]（ねえ）,手[て]が 震[ふる]える。,いい 天気[てんき]だねえ。,泣[な]いている。,すごいねえ。,[sound:hypertts-00044caed4cc1439d23caf3773b3a890ea7b660515f73271b2628c00.mp3],[sound:hypertts-a604e0b348c5b5ee7bbced1a77d96348e7de52aa2fa07b46cfb6bab4.mp3],[sound:hypertts-5b9fe0a9ffc45b53d734c89d405389b90e6d3531320fb13a32bb30c4.mp3],[sound:hypertts-5974c5488bffea0ae29752fc8055c036df48261d34b68226f31b71a3.mp3]
だれかが親切に<br>世話を焼(や)いたんだね,だれかが 親切[しんせつ]に<br> 世話[せわ]を 焼[や]いたんだね,だれかが親切に世話を焼いたんだね,"<img src=""Spirited_Away_-_ja_-_Jap_2245201.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2244890.mp3],Chắc có ai đã<br>giúp đỡ ngươi rất tận tình phải không?,틀림없이 누군가가 도와준 게야,一[yí]定[dìng]是[shì]有[yǒu]人[rén]热[rè]心[xīn]指[zhǐ]点[diǎn]吧[ba],一[yí]定[dìng]是[shì]有[yǒu]人[rén]熱[rè]心[xīn]指[zhǐ]點[diǎn]妳[nǐ]的[de]吧[ba]？[？],Someone must've helped you.,Alguien debe haberte ayudado.,Alguien debe de haberte ayudado.,親切[しんせつ]： 思[おも]いやりのある 行為[こうい],世話[せわ]を 焼[や]く： 手間[てま]をかけて 世話[せわ]する,~たんだね（ 説明[せつめい]・ 確認[かくにん]）,受動[じゅどう]でない 能動[のうどう] 表現[ひょうげん]の 説明[せつめい],親切[しんせつ]に 道[みち]を 教[おし]えてくれた。,彼女[かのじょ]は 子供[こども]の 世話[せわ]を 焼[や]く。,来[き]たんだね、よかった。,助[たす]けてあげたんだ。,[sound:hypertts-a1988318c95ad1feb4903063b08e20f99152f8ae399eab3d4f8e2491.mp3],[sound:hypertts-aced8487d90b6032b4325e3e231b0464c741728bfa31cca95c0a7c46.mp3],[sound:hypertts-a0d6897c49e165833684d65e2ccac57c0278ab48baf4f1631e4002f4.mp3],[sound:hypertts-6aaade7ea6a387c509a11864ccec819989e6e7a14d42a4f20b8cc179.mp3]
なんで私(わたし)が お前を<br>雇(やと)わなきゃならないんだい,なんで 私[わたし]がお 前[まえ]を<br> 雇[やと]わなきゃならないんだい,なんで私がお前を雇わなきゃならないんだい,"<img src=""Spirited_Away_-_ja_-_Jap_2272353.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2272353.mp3],Vì sao ta lại phải đi thuê một đứa<br>như ngươi chứ hả?,내가 널 왜 고용해야 하지?,为[wèi]什[shén]么[me]我[wǒ]一[yí]定[dìng]要[yào]雇[gù]用[yòng]你[nǐ]？[？],為[wèi]什[shén]麼[me]我[wǒ]一[yí]定[dìng]要[yào]雇[gù]用[yòng]妳[nǐ]？[？],Why should I hire you?,¿Por qué debería contratarte?,¿Por qué iba a contratarte?,雇[やと]う： 雇用[こよう]する、 雇[やと]う 側[がわ]の 動作[どうさ],~なきゃならない（＝なければならない）： 義務[ぎむ],理由[りゆう]を 問[と]う 表現[ひょうげん]（なんで~だい）,否定[ひてい] 疑問[ぎもん]で 反発[はんぱつ]を 示[しめ]す,彼[かれ]を 雇[やと]うことにした。,行[い]かなきゃならない。,なんで 遅[おく]れたんだい？,そんなはずないだい。,[sound:hypertts-c99e9c55781c1e6d76620eb349709fd6e0e536a1bff90e02c4c2caf9.mp3],[sound:hypertts-b334191a0bfd051e3f1def399b0833f5ec539a0f1d59e567e614d6aa.mp3],[sound:hypertts-1a25311dfca3c7b4833f35d15817b45008e1d8d11d56cf5a095cff2e.mp3],[sound:hypertts-7ebd439aa63b46622dbb67a48866364eb8db57eddac3bc9d57ef48ae.mp3]
見るからにグズで 甘(あま)ったれで<br>泣(な)き虫で<br>頭の悪い小娘(こむすめ)に,見[み]るからにグズで 甘[あま]ったれで<br>泣[な]き 虫[むし]で<br> 頭[あたま]の 悪[わる]い 小娘[こむすめ]に,見るからにグズで甘ったれで泣き虫で頭の悪い小娘に,"<img src=""Spirited_Away_-_ja_-_Jap_2276232.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2276232.mp3],"Ngươi là một đứa vô dụng, chỉ giỏi<br>mè nheo và khóc nhè!<br>Ta chẳng muốn giao việc gì",굼뜬 응석받이에<br>머리 나쁜 울보한테<br>맡길 일 따위는,看[kàn]起[qǐ]来[lái]迟[chí]钝[dùn]鲁[lǔ]莽[mǎng] 爱[ài]撒[sā]娇[jiāo]又[yòu]爱[ài]哭[kū]<[<br>]b[hái]r[shì]>[gè]还[bèn]是[tóu]个[bèn]笨[nǎo]头[de]笨[nǚ]脑[hái]的[<br>]女[huì]孩[yǒu]<[shì]b[hé]r[nǐ]>[de]会[gōng]有[zuò]适[ma]合[？],看[kàn]起[qǐ]來[lái]遲[chí]鈍[dùn]、[、]愛[ài]撒[sā]嬌[jiāo]、[、]愛[ài]哭[kū]<[<br>]b[tóu]r[nǎo]>[yòu]頭[bèn]腦[de]又[nǚ]笨[hái]的[<br>]女[zhè]孩[lǐ]<[huì]b[yǒu]r[nǐ]>[de]這[gōng]裡[zuò]會[ma]有[？],"Anyone can see<br>you're a lazy, spoiled, crybaby.<br>Stupid to boot.","Es obvio que eres<br>una llorona consentida y perezosa.<br>Y para colmo, estúpida.",Está claro que eres<br>una llorona mimada y holgazana.<br>Y más que estúpida.,見[み]るからに： 外見[がいけん]・ 様子[ようす]から 明[あき]らかに,グズ・ 甘[あま]ったれ・ 泣き虫[なきむし]： 否定的[ひていてき] 性格描写[せいかくびょうしゃ]の 語[かたり],列挙[れっきょ]（~で~で）： 性質[せいしつ]や 特徴[とくちょう]を 並[なら]べる,否定的[ひていてき] 評価[ひょうか]の 強調[きょうちょう] 表現[ひょうげん],見[み]るからに 疲[つか]れている。,彼[かれ]は 甘[あま]ったれだ。,明[あか]るくて 元気[げんき]で 親切[しんせつ]だ。,全然[ぜんぜん]だめだ。,[sound:hypertts-6417f6bbe909b51a99d87d10dfd3137cf917075a4566efd3db8ae737.mp3],[sound:hypertts-527c15456ef2500f9814a4a222b0a290de9ac711f6529001c09cbf32.mp3],[sound:hypertts-ea1b91f57ed6f97163f89817987ccdda9c46c60da8cf2bd83efa7716.mp3],[sound:hypertts-2d73f0af1be25d76ceccf3f28014ebc3946730f8f90bc4f328ad8674.mp3]
これ以上(いじょう) 穀(ごく)つぶしを増(ふ)やして<br>どうしろっていうんだい,これ 以上[いじょう] 穀[ごく]つぶしを 増[ふ]やして<br>どうしろっていうんだい,これ以上穀つぶしを増やしてどうしろっていうんだい,"<img src=""Spirited_Away_-_ja_-_Jap_2287994.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2287994.mp3],Tại sao ta phải nuôi thêm<br>một miệng ăn hại chứ?,밥벌레 더 늘려서 뭣하게?,不[bú]要[yào] 我[wǒ]怎[zěn]能[néng]雇[gù]用[yòng]好[hào]吃[chī]懒[lǎn]做[zuò]的[de]人[rén]？[？],我[wǒ]拒[jù]絕[jué]！[！<br>]<[wǒ]b[zěn]r[néng]>[gù]我[yòng]怎[yī]能[xiē]雇[hǎo]用[chī]一[lǎn]些[zuò]好[de]吃[rén]懶[？],I've got all the bums I need around here.,Tengo todos los sirvientes que necesito.,Bastantes inútiles tengo ya aquí.,これ 以上[いじょう]： 現在[げんざい]の 量[りょう]より 増[ふ]やさないで,穀[ごく]つぶし： 無駄[むだ]な 人間[にんげん]（ 侮蔑的[ぶべつてき] 表現[ひょうげん]）,~てどうしろ（ 反語[はんご]）： 手段[しゅだん]に 疑問[ぎもん]を 呈[てい]する,反論[はんろん] 的[てき] 口調[くちょう]（だい）： 強[つよ]い 問[と]いかけ,これ 以上[いじょう] 遅[おく]れるな。,そんな 穀[ごく]つぶしを 追い出[おいだ]せ。,言[い]ってどうしろっていうんだ。,なんだい？,[sound:hypertts-8484faa2f9443f665249722ae8fa5a0efbe38900af4d32a1199eecb0.mp3],[sound:hypertts-9a6d97cfbbe3693b002b2acb868b20b762d3e76c11d1e51a1e17ad30.mp3],[sound:hypertts-02c454f4b96e2a8f6f13b35f22e93b7a89fd7dbe3787f4a5d24e5987.mp3],[sound:hypertts-bf020bc332f2691e7cf1895f7d1cdabb60989cbed99c0bb8087ed31a.mp3]
（湯婆婆(ゆばーば)）契約書(けいやくしょ)だよ,（ 湯婆婆[ゆばーば]） 契約書[けいやくしょ]だよ,契約書だよ,"<img src=""Spirited_Away_-_ja_-_Jap_2369700.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2369512.mp3],Bản hợp đồng đấy.,계약서다,这[zhè]是[shì]契[qì]约[yuē]书[shū],這[zhè]是[shì]契[qì]約[yuē]書[shū],Your contract.,Tu contrato.,Tu contrato.,契約書[けいやくしょ]： 契約[けいやく]の 内容[ないよう]を 書面[しょめん] 化[か]したもの,だよ： 断定[だんてい]・ 説明[せつめい],名詞[めいし]の 提示[ていじ]： 情報[じょうほう]を 伝[つた]える,,契約書[けいやくしょ]に 署名[しょめい]する。,そうだよ。,これは 辞書[じしょ]だ。,,[sound:hypertts-7f6e614f4f9bad080458020f7da9ae87805ef3f80a2844f3649fbd32.mp3],[sound:hypertts-c251892f44114347656bc7a09b9e093068a3c20091a34aedfbf1b65e.mp3],[sound:hypertts-3e7eb49a2e8c9848f0d6cdec936c1f9a2603e6bc4657995ba50f56fd.mp3],
つまらない誓(ちか)いを<br>立てちまったもんだよ,つまらない 誓[ちか]いを<br> 立[た]てちまったもんだよ,つまらない誓いを立てちまったもんだよ,"<img src=""Spirited_Away_-_ja_-_Jap_2396560.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2396432.mp3],Ta ngán ngẩm lời thề đó rồi đấy.,일을 구하는 자에게,都[dōu]怪[guài]我[wǒ]立[lì]了[le]个[gè]无[wú]聊[liáo]的[de]誓[shì]言[yán],都[dōu]怪[guài]我[wǒ]立[lì]了[le]個[gè]無[wú]聊[liáo]的[de]誓[shì]言[yán],That ridiculous oath I took.,Ese juramento ridículo que hice,Qué promesa más estúpida hice.,誓[ちか]い： 強[つよ]い 約束[やくそく],ちまう（ 立[た]てちまった＝ 立[た]ててしまった）： 後悔[こうかい]・ 完了[かんりょう]の 口語[こうご],~ちまった（ 略式[りゃくしき]）： 後悔[こうかい]や 否定的[ひていてき] 結果[けっか],感慨[かんがい]の 表現[ひょうげん]（もんだよ）,結婚[けっこん]の 誓[ちか]いを 立[た]てる。,やってしまった（ 言い間違[いいまちが]い）,なくしちまった。,若[わか]かったもんだよ。,[sound:hypertts-bbf537f6ecea7ca56122eae2392e880aed0b276b9e958b30b8712fc9.mp3],[sound:hypertts-dfa401647d64f744483bd1cd30e3b39ea369d0aecf892c7ef93c110d.mp3],[sound:hypertts-46b9afaf36bc61a367f6adc482f7f852bde65b7700a8d7e76e0926b6.mp3],[sound:hypertts-a48b4e2c084350ed191f43fce32597f1de045d8701e041c1cbe9dc2a.mp3]
ムダ口をきくな,ムダ 口[ぐち]を 聞[き]くな,ムダ口を聞くな,"<img src=""Spirited_Away_-_ja_-_Jap_2464462.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2464327.mp3],Đừng nói vớ vẩn.,쓸데없는 말은 하지 마,别[bié]多[duō]话[huà],別[bié]多[duō]說[shuō]話[huà],No idle chatter.,Nada de cháchara.,Nada de charlar.,ムダ 口[ぐち]： 無駄話[むだばなし]・ 余計[よけい]な 発言[はつげん],きくな（ 話[はな]すな）： 命令[めいれい],命令形[めいれいけい]（~な）： 禁止[きんし],,ムダ 口[ぐち]は 慎[つつし]め。,しゃべるな。,触[さわ]るな。,,[sound:hypertts-2dd1be03c95b46f70ce433d9d8986873bb886931bf310f78b89abe98.mp3],[sound:hypertts-eb119202a4c1549ccd8a1b2179b48c09af69f8ffc884fbf047eee93a.mp3],[sound:hypertts-f25b9733efebb8a8560c9e1675c6e1e0b78716336e66d27740014321.mp3],
いくら湯婆婆(ゆばーば)様の仰(おっしゃ)りでも<br>それは…<br>人間は困(こま)ります,いくら 湯婆婆[ゆばーば] 様[さま]の 仰[おっしゃ]りでも<br>それは…<br> 人間[にんげん]は 困[こま]ります,いくら湯婆婆様の仰りでもそれは人間は困ります,"<img src=""Spirited_Away_-_ja_-_Jap_2484148.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2483502.mp3],Cho dù đây có là lệnh của Yubaba<br>đi chăng nữa...<br>Ta không thể cho con người làm.,아무리 유바바 님<br>명령이라고 해도…<br>인간은 곤란해요,-[-]就[jiù]算[suàn]是[shì]汤[tāng]婆[pó]婆[po]的[de]指[zhǐ]示[shì]<[<br>-]b[yào]r[wǒ]>[yòng]-[rén]要[lèi]我[yě]用[wèi]人[miǎn]类[tài]也[…<br>-]未[jiù]免[suàn]太[shì]…[tāng]<[pó]b[po]r[de]>[zhǐ]-[shì]就[<br>-]算[yào]是[wǒ]汤[yòng]婆[rén]婆[lèi]的[yě]指[wèi]示[miǎn]<[tài]b[…],-[-]就[jiù]算[suàn]是[shì]湯[tāng]婆[pó]婆[po]的[de]指[zhǐ]示[shì]<[<br>-]b[yào]r[wǒ]>[yòng]-[rén]要[lèi]我[wèi]用[miǎn]人[tài]類[…<br>-]未[jiù]免[suàn]太[shì]…[tāng]<[pó]b[po]r[de]>[zhǐ]-[shì]就[<br>-]算[yào]是[wǒ]湯[yòng]婆[rén]婆[lèi]的[wèi]指[miǎn]示[tài]<[…],Even on Yubaba's orders...<br>We can't allow humans.,Aunque Yubaba lo ordene...<br>No se permiten humanos.,Por mucho que lo ordene Yubaba...<br>Los humanos dan problemas.,仰[おっしゃ]り： 言[い]う（ 尊敬語[そんけいご]）,困[こま]る： 困難[こんなん]・ 問題[もんだい]が 生[しょう]じる,いくら~ても（ 譲歩[じょうほ]）：どれだけ~でも,敬語[けいご]の 受け取[うけと]り（ 仰[おっしゃ]りでも）： 柔[やわ]らかい 表現[ひょうげん],先生[せんせい]の 仰[おっしゃ]りに 従[したが]う。,それでは 困[こま]る。,いくら 言[い]ってもわからない。,そう 仰[おっしゃ]るのは 当然[とうぜん]です。,[sound:hypertts-573d1800164a3483d491eb1dc8496b7b05ccd10460063634938fc35b.mp3],[sound:hypertts-165388c7b04d2f48624b5af082d93526facad83496029332b6d93fad.mp3],[sound:hypertts-8167420157e047fa92b547cad3376c1fd570acccc1c85e9596cfe29d.mp3],[sound:hypertts-badb3ba82f669aa2d666fe30ac27e61280fe35fb4878890830fbc939.mp3]
私(わたし)らんとこには<br>よこさないでおくれ,私[わたし]らんとこには<br>寄[よ]こさないでおくれ,私らんとこには寄こさないでおくれ,"<img src=""Spirited_Away_-_ja_-_Jap_2493991.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_2493746.mp3],Tôi không muốn nó đến chỗ mình đâu.,- 가까이 못 오게 해<br>- 인간은 악취가 나,-[-]别[bié]发[fā]派[pài]到[dào]我[wǒ]们[men]这[zhè]边[biān]来[lái]<[<br>-]b[rén]r[lèi]>[hǎo]-[chòu]人[a],-[-]別[bié]分[fēn]發[fā]到[dào]我[wǒ]們[men]這[zhè]裡[lǐ]來[lái]<[<br>-]b[rén]r[lèi]>[chòu]-[sǐ]人[le],-Don't send her to us.,- No la manden aquí.<br>- No soporto ese olor a humano.,No la pongáis con nosotras.<br>No soporto la peste a humano.,私[わたし]らんとこ（ 私[わたし]たちのところの 口語[こうご]）： 場所[ばしょ]・ 集団[しゅうだん],よこす（ 送[おく]る・ 差し向[さしむ]ける）： 他所[よそ]からこちらへ 送[おく]る,~ないでおくれ（ 懇願[こんがん] 的[てき] 否定[ひてい]）：してほしくない 願[ねが]い,方言[ほうげん]・ 口語[こうご]の 柔[やわ]らかい 依頼[いらい] 表現[ひょうげん],私[わたし]らんとこに 来[き]ないで。,彼[かれ]は 手紙[てがみ]をよこした。,触[さわ]らないでおくれ。,もう 来[こ]ないでおくれ。,[sound:hypertts-b91f6893857782f31166f6ede99ea5588f89cdd8421eac63f2c8d8c1.mp3],[sound:hypertts-32b72140ba3fe18a5b8313be2283133f2dea30ff4b393b4a8e79261c.mp3],[sound:hypertts-6a7788af40c52771cfe64c249c1391a5efc583434c4122a7394c12b3.mp3],[sound:hypertts-eddf83e1ef37f28497011075e6a2ed4fc0d56149268227bd39e56332.mp3]
